COD,POP,OB_Tot,OB_Tot_Tax,Tx_analf
350420,15123,15123,"3,570720095","7,5"
350430,5369,5369,"5,401378283","7,2"
350440,13433,13433,"4,317725006","7,7"
350450,90063,90063,"4,408025493","4,6"
350460,17236,17236,"4,119285217","3,6"
350470,5532,5532,"2,349963847","11,2"
350480,8994,8994,"3,780297976","6,3"
350490,10896,10896,"3,303964758","7,9"
350500,3441,3441,"3,77797152","9,3"
350510,7335,7335,"4,498977505",9
350520,34961,34961,"4,347701725","5,7"
350530,36127,36127,"4,511860935","4,8"
350535,5688,5688,"3,516174402","12,2"
350540,7687,7687,"4,423051906","17,3"
350550,121344,121344,"4,590255802","4,3"
350560,32434,32434,"3,668989332","6,8"
350570,271306,271306,"5,023847611","4,1"
350580,20954,20954,"4,00878114","6,6"
350590,62024,62024,"3,434154521","4,4"
350600,374272,374272,"4,071904925",3
350610,77436,77436,"4,080789297","4,6"
350620,2955,2955,"4,060913706","7,2"
350630,11137,11137,"4,130376223","5,2"
350635,61736,61736,"3,709343009","5,6"
350640,7949,7949,"4,151465593","7,6"
350650,122359,122359,"3,849328615","4,5"
350660,32251,32251,"3,069672258","8,6"
350670,14824,14824,"5,194279547","9,3"
350680,12204,12204,"3,851196329","5,9"
350690,11534,11534,"3,207907057","7,8"
350700,59793,59793,"3,495392437","5,5"
350710,24898,24898,"3,293437224","6,2"
350715,3923,3923,"4,078511343","12,1"
350720,836,836,"3,588516746",9
350730,4776,4776,"4,606365159","6,7"
350740,15925,15925,"4,081632653","8,7"
350745,2621,2621,"3,052270126","8,2"
350750,144820,144820,"3,818533352",4
350760,166753,166753,"4,167841058","4,4"
350770,5630,5630,"2,131438721","8,5"
350775,2841,2841,"5,631819782","11,1"
350780,24592,24592,"3,863044893","4,3"
350790,24163,24163,"3,517775111",6
350800,19789,19789,"4,093183082","9,7"
350810,17003,17003,"5,351996706","8,4"
350820,4447,4447,"3,822801889","4,4"
350830,4286,4286,"4,433037797","10,5"
350840,48966,48966,"3,676020096",6
350850,93488,93488,"3,893547835","3,5"
350860,33067,33067,"4,596727856","3,8"
350870,18961,18961,"4,166446917","7,1"
350880,17689,17689,"5,314036972","6,4"
350890,4190,4190,"3,341288783","12,9"
350900,100129,100129,"3,465529467","3,8"
350910,5800,5800,"3,793103448","11,2"
350920,75638,75638,"3,781168196","4,9"
350925,28605,28605,"4,439783255","9,3"
350930,10486,10486,"3,909975205","8,7"
350940,25935,25935,"3,62444573","5,5"
350945,5991,5991,"4,50676014","8,2"
350950,1194094,1194094,"3,2610498","3,2"
350960,83735,83735,"3,785752672","4,2"
350970,51763,51763,"4,617197612","3,8"
350980,4932,4932,"4,866180049","9,5"
350990,12539,12539,"4,864821756","7,5"
350995,5071,5071,"3,943995267","5,9"
351000,31212,31212,"3,972830962","5,4"
351010,2787,2787,"4,664513814",9
351015,5139,5139,"3,697217357","8,9"
351020,47159,47159,"5,004346996","7,7"
351030,20419,20419,"3,86894559","6,1"
351040,55141,55141,"3,209952667","4,3"
351050,119625,119625,"4,873563218","4,6"
351060,398611,398611,"3,59498358","4,5"
351070,12303,12303,"5,364545233","9,7"
351080,30237,30237,"4,530872772","5,4"
351090,2542,2542,"5,50747443","8,2"
351100,20738,20738,"4,050535249","8,6"
351110,121210,121210,"4,339575943","4,8"
351120,7752,7752,"3,611971104","9,5"
351130,9125,9125,"5,04109589","5,5"
351140,19774,19774,"4,753717002","6,1"
351150,48074,48074,"3,203394766","3,8"
351160,17915,17915,"4,632989115","4,8"
351170,17009,17009,"4,468222706","6,9"
